,regularMarketPrice,logo_url,52WeekChange,SandP52WeekChange,address1,algorithm,annualHoldingsTurnover,annualReportExpenseRatio,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,beta3Year,bid,bidSize,bookValue,category,circulatingSupply,city,companyOfficers,country,currency,currentPrice,currentRatio,dateShortInterest,dayHigh,dayLow,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,exDividendDate,exchange,exchangeTimezoneName,exchangeTimezoneShortName,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,financialCurrency,fiveYearAverageReturn,fiveYearAvgDividendYield,floatShares,forwardEps,forwardPE,freeCashflow,fromCurrency,fullTimeEmployees,fundFamily,fundInceptionDate,gmtOffSetMilliseconds,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,industry,isEsgPopulated,lastCapGain,lastDividendDate,lastDividendValue,lastFiscalYearEnd,lastMarket,lastSplitDate,lastSplitFactor,legalType,longBusinessSummary,longName,market,marketCap,maxAge,maxSupply,messageBoardId,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,navPrice,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,open,openInterest,operatingCashflow,operatingMargins,payoutRatio,pegRatio,phone,previousClose,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,quoteType,recommendationKey,recommendationMean,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortName,shortPercentOfFloat,shortRatio,startDate,state,strikePrice,symbol,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,toCurrency,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEps,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,website,yield,ytdReturn,zip,trailingPE,fax,address2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,353.785,https://logo.clearbit.com/abiomed.com,0.12559521,0.26514983,22 Cherry Hill Drive,,,,353.79,800.0,303570.0,242285.0,303570.0,1.270649,,352.98,1400.0,30.432,,,Danvers,[],United States,USD,353.785,7.643,1638230400.0,354.02,350.11,0.567,,,-0.088,-0.085,288176000.0,0.29598,53.377,15.798,15381965824.0,,NMS,America/New_York,EST,,336.7592,387.4,261.27,USD,,,44590270.0,5.01,70.61577,170232128.0,,1725.0,,,-18000000,0.81897,685615000.0,0.020610001,0.92825997,,Medical Devices,False,,,,1617148800.0,,970444800,2:1,,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.","Abiomed, Inc.",us_market,16096332800.0,1.0,,finmb_247589,,,1632960000.0,,149152000.0,1680220800.0,5.0,353.8,,281540992.0,0.26919,0.0,8.0,978 646 1400,352.21,2.0,11.625427,16.532204,0.15319,6.491,EQUITY,buy,2.5,354.02,350.11,353.8,352.21,67786.0,0.114630006,0.116210006,0.183,21.494,,Healthcare,45497500.0,0.020399999,928904.0,1635465600.0,817691.0,"ABIOMED, Inc.",0.0234,3.53,,MA,,ABMD,425.0,269.0,379.8,410.0,,,,650558976.0,14.299,7854000.0,973635008.0,False,,,3.257,325.42035,67786.0,,,https://www.abiomed.com,,,01923,108.62297,978 777 8411,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24.3,https://logo.clearbit.com/acadia-pharm.com,-0.54297537,0.26514983,12830 El Camino Real,,,,24.51,800.0,3156150.0,1635874.0,3156150.0,0.568831,,24.26,800.0,3.528,,,San Diego,[],United States,USD,24.3,7.265,1638230400.0,24.58,23.37,11.611,,,,,-136496992.0,-0.28773,-25.143,7.234,3431906048.0,,NMS,America/New_York,EST,,20.2492,55.85,15.68,USD,,,118028641.0,-0.9,-27.0,-37918000.0,,570.0,,,-18000000,0.57067,154875000.0,0.00366,0.91266,,Biotechnology,False,,,,1609372800.0,,,,,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; Trofinetide, a novel synthetic analog for the treatment of Rett syndrome; ACP-044, a novel first-in-class orally administered non-opioid analgesic for treating acute and chronic pain; and ACP-319, a positive allosteric modulator of the muscarinic receptor for treating cognition and schizophrenia. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.",ACADIA Pharmaceuticals Inc.,us_market,3906370560.0,1.0,,finmb_683713,,,1632960000.0,,-191536000.0,1672444800.0,19.0,23.85,,-130028000.0,-0.29542,0.0,-0.84,858 558 2871,23.92,2.0,6.8877544,8.234444,-0.40375,6.824,EQUITY,hold,2.7,24.58,23.37,23.85,23.92,2036266.0,-0.11576,-0.31351998,0.092,2.973,,Healthcare,160756000.0,0.0361,5805076.0,1635465600.0,7830578.0,ACADIA Pharmaceuticals Inc.,0.0585,4.51,,CA,,ACAD,42.0,18.0,28.89,30.0,,,,540291008.0,3.361,65827000.0,474393984.0,False,,,-1.2,20.98325,2036266.0,,,https://www.acadia-pharm.com,,,92130,,858 212 0513,Suite 400
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15.85,https://logo.clearbit.com/adicetbio.com,0.13946795,0.2505386,500 Boylston Street,,,,16.5,800.0,6313640.0,1085157.0,6313640.0,,,16.35,1200.0,6.798,,,Boston,[],United States,USD,15.85,9.935,1638230400.0,16.1099,14.08,9.453,,,,,-45552000.0,0.0,-7.35,34.616,334802880.0,,NGM,America/New_York,EST,,10.0706,17.8,6.25,USD,,,12770356.0,-2.26,-7.0132747,-36551624.0,,81.0,,,-18000000,1.0,17903000.0,0.11422,0.6085,,Biotechnology,False,,,,1609372800.0,,1600214400,1:7,,"Adicet Bio, Inc., a biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for cancer and other diseases. The company offers gamma delta T cells engineered with chimeric antigen receptors and T cell receptor-like antibodies to enhance selective tumor targeting, facilitate innate and adaptive anti-tumor immune response, and enhance persistence for durable activity in patients. Its lead product in pipeline includes ADI-001, which is in Phase 1 clinical study for the treatment of non-Hodgkin's lymphoma. The company also engages in the development of ADI-002, which is undergoing preclinical studies for the treatment of various solid tumors, including hepatocellular carcinoma, gastric cancer, and squamous cell carcinoma of the lung. The company is based in Boston, Massachusetts.","Adicet Bio, Inc.",us_market,620419712.0,1.0,,finmb_310073311,,,1632960000.0,,-55144000.0,1672444800.0,7.0,14.35,,-50953000.0,-4.8635197,0.0,-0.25,857 315 5528,14.24,2.0,2.3315682,64.14596,0.0,9.731,EQUITY,strong_buy,1.4,16.1099,14.08,14.35,14.24,907464.0,-0.14425999,-0.33005002,0.132,0.353,,Healthcare,38205700.0,0.0094,301386.0,1635465600.0,413383.0,"Adicet Bio, Inc.",0.0219,2.73,,MA,,ACET,34.0,25.0,31.0,33.0,,,,192226000.0,6.015,20535000.0,9672000.0,False,,,-2.013,10.486175,907464.0,,,https://www.adicetbio.com,,,02116,,,13th Floor
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,42.105,https://logo.clearbit.com/archgroup.com,0.25749195,0.2505386,Waterloo House,,,,42.18,800.0,1682820.0,1889847.0,1682820.0,0.903896,,42.17,800.0,32.564,,,Pembroke,[],Bermuda,USD,42.105,2.207,1638230400.0,42.8,41.93,20.333,,,-0.02,0.002,2384026880.0,0.25553,6.652,1.7,15859147776.0,,NMS,America/New_York,EST,,42.506,44.53,31.23,USD,,,338361995.0,3.8,11.080263,968958400.0,,4500.0,,,-18000000,0.36581,2830834000.0,0.029240001,1.00387,,Insurance—Diversified,False,,,,1609372800.0,,1529539200,3:1,,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile, and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was founded in 1995 and is based in Pembroke, Bermuda.",Arch Capital Group Ltd.,us_market,16258172928.0,1.0,,finmb_346919,,,1632960000.0,,2013464960.0,1672444800.0,,42.69,,3182606080.0,0.24813,0.0,0.31,,43.22,2.0,1.2929922,1.7426258,0.22264,1.188,EQUITY,none,,42.8,41.93,42.69,43.22,1021629.0,0.033069998,0.16614,-0.091,23.461,,Financial Services,386134016.0,0.0069999998,2693028.0,1635465600.0,3086954.0,Arch Capital Group Ltd.,0.0072000003,1.29,,,,ACGL,,,,,,,,4323366912.0,11.244,2724148992.0,9329697792.0,False,,,4.961,40.1446,1021629.0,,,https://www.archgroup.com,,,HM 08,8.4872,441 278 9255,Ground Floor 100 Pitts Bay Road
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
